TeamName,TeamSlug,Seed,FGM,FGA,3PM,3PA,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,TeamScore,OppScore,WinPct
Duke,duke,1,27.6,58.9,10,26.8,15.7,21.1,12.1,26.3,17,8.5,6.7,2.6,15.4,80.9,62.3,1
UConn,connecticut,2,26.6,57.4,8.3,26,11.8,15.4,10.2,22.1,18.5,10.3,5.8,5,16.8,73.3,66.5,0.7
Michigan State,michigan-state,3,27.2,58.7,8.1,21.3,16,19.9,10.2,23.6,18.1,9.3,3.9,3,17.5,78.5,77.2,0.6
Kansas,kansas,4,24.5,61.5,6.9,20.5,14.7,18.6,11.1,24.2,12.1,11,5.9,4.8,14.4,70.6,74.2,0.5
St. John's,st-johns-ny,5,26.1,60.5,5.9,20.2,16.3,22.3,9.7,24.7,16.8,8.9,7.6,5,16.1,74.4,64.6,0.9
Louisville,louisville,6,28.6,59,11.5,29.7,13.6,17.4,8,23.9,15.6,11.3,6.4,3.3,17.5,82.5,75.7,0.6
UCLA,ucla,7,27.7,59.2,8.8,23.4,10.9,14.4,7.9,19.9,17.6,7,6.6,2,17,75.1,73.8,0.6
Ohio State,ohio-state,8,26.3,52.2,8.5,20.8,15.3,20,6,21,12.8,8.9,4.6,2.1,17.9,76.4,71.5,0.6
TCU,texas-christian,9,26.2,61.1,7.2,22,17.3,24.8,11.6,21.5,14.8,9.4,8.6,3.9,15.1,76.9,72.3,0.8
UCF,central-florida,10,28,63.1,6.5,20.2,14.3,19.4,9.6,23.1,14.4,10,6.3,3.6,17.9,76.8,81.3,0.4
South Florida,south-florida,11,27.4,65.1,8.7,27.2,18.1,23.8,12.8,24,15.8,9.8,9.4,3.3,17.3,81.6,66.5,1
Northern Iowa,northern-iowa,12,27.8,53.6,8.9,21.7,10.8,14.4,5.3,20.7,16.3,9,6.3,3,15.8,75.3,64.5,0.7
California Baptist,california-baptist,13,25.6,59.9,8,20.3,13.5,19.1,10.8,23.2,10,10.2,5.1,2.8,18.8,72.7,64.3,0.8
North Dakota State,north-dakota-state,14,28,60.4,9.7,26.2,13.6,18.9,9.2,24.7,16,9.5,6.6,2,13.9,79.3,67.7,0.8
Furman,furman,15,25.9,55.7,8.4,24.7,14.3,19.3,7.8,25.1,13.3,9.9,4.1,3.4,15.8,74.5,70.7,0.6
Siena,siena,16,22.8,53.5,4.6,16.6,17.3,21.3,7.7,23.6,12.6,9.5,4,3.9,14.4,67.5,65.5,0.6
Arizona,arizona,1,27.4,57.6,5.9,16,19.1,25.7,10.4,26.1,14.5,8.8,6.2,3.2,15.2,79.8,70.2,0.9
Purdue,purdue,2,28.7,58.6,9.3,24.3,12.5,16.6,9.6,19.1,20.1,7.2,5,2.5,15.2,79.2,74,0.6
Gonzaga,gonzaga,3,29.4,59,6.1,19.9,13.2,18.1,9.1,22.3,18.1,8,7.3,4.1,15,78.1,65,0.8
Arkansas,arkansas,4,33.1,66.7,8.5,19.4,18,23.6,9.5,22.9,16.5,8,6.9,5.1,18.2,92.7,88.6,0.8
Wisconsin,wisconsin,5,27.9,61.7,13.5,35.1,12.9,16,8.2,21,16.1,7.3,5.7,2.9,16,82.2,76.2,0.7
BYU,brigham-young,6,28,61.3,7.9,23.3,14.2,18.7,10.1,22.4,10.7,11.4,5.7,3.7,15.7,78.1,78.4,0.5
Miami (FL),miami-fl,7,28.4,59.5,6.3,17.5,13.6,19.5,10.7,20.2,13.5,10.1,7.7,3.5,13.4,76.7,73.9,0.7
Villanova,villanova,8,27.3,61.2,9.1,27.8,12.5,19,8.4,20.5,16.6,9.1,8,2.1,16.3,76.2,75.3,0.7
Utah State,utah-state,9,26.7,57.5,8.5,25,16.7,23.7,8.5,20.1,16.7,8.9,8,2.3,19,78.8,73.9,0.7
Missouri,missouri,10,26.9,55.5,6.6,18.5,17.6,24.7,8.7,21,13,11.3,6,3.3,17.1,78,78.2,0.5
Texas,texas,11,26.6,57.1,6.5,17.4,20.2,25.8,9.4,22.2,10.5,9.7,4.4,3,17.4,79.9,81,0.5
High Point,high-point,12,28.5,62.5,9.2,27.6,20,26,10.5,23.1,14.6,10.1,10.7,4.4,20,86.2,70.3,1
